TYPES,C,H,N,S,O,Ash,Moisture,Volatile matter,Fixed carbon,Temperature (°C),S/B,Gasifier type,H2,CO,CO2,CH4,Tar (g/Nm3),Gas (Nm3/kg),Char (g/kg)
Type-V,53.205,6.587,0.77,0.491,31.788,7.3,10.095,80.722,17.482,819.061,0.872,fix,35.055,24.194,25.932,14.897,35.666,0.76,97.572
Type-C,36.64,5.871,0.943,0.096,45.075,12.367,0.0,69.076,9.41,500.0,1.331,fix,16.318,53.583,21.749,8.608,12.186,0.186,100.298
Type-H,45.2,5.436,0.908,0.237,42.22,4.227,9.707,80.848,13.954,678.631,2.102,fluid,82.254,6.439,0.0,11.418,12.671,1.117,29.231
Type-D,42.648,5.554,0.189,0.0,51.144,2.335,11.005,91.349,13.186,746.101,0.628,fluid,52.132,22.76,17.522,7.215,31.677,1.075,170.797
Type-J,46.142,8.098,0.166,0.103,35.846,7.972,0.0,84.208,5.234,500.0,1.04,fix,22.37,24.252,25.795,27.557,12.202,0.113,95.177
Type-U,51.768,6.025,0.187,0.103,42.519,0.464,7.658,95.975,13.586,809.103,0.74,fluid,27.076,44.871,13.758,14.287,10.229,0.54,111.877
Type-O,48.8,6.964,0.039,0.0,45.45,0.532,9.539,80.055,18.052,793.457,1.168,fix,30.034,44.158,13.441,12.366,397.104,0.773,8.961
Type-N,49.007,5.757,0.254,0.329,35.72,5.691,0.0,73.067,13.985,682.217,1.243,fix,35.943,12.138,40.822,10.993,90.695,0.858,163.485
Type-I,45.632,7.162,1.236,0.213,34.619,10.122,9.222,58.527,17.115,881.868,1.4,fix,49.598,19.026,26.369,4.851,12.899,2.614,26.399
Type-F,51.532,5.713,1.017,0.099,43.332,1.409,11.985,78.787,15.073,864.268,0.849,fluid,56.907,19.784,14.897,8.938,8.581,0.882,103.794
Type-H,51.299,5.185,0.859,0.25,40.918,4.543,9.005,75.908,15.375,653.527,1.728,fluid,81.579,12.445,3.939,1.336,11.827,1.189,25.704
Type-O,49.453,6.511,0.039,0.0,45.36,0.567,9.564,79.611,18.541,905.439,1.24,fix,39.863,33.99,17.272,8.898,141.335,1.054,4.397
Type-J,46.124,7.063,0.16,0.088,36.144,8.183,0.0,80.635,4.99,500.0,1.338,fix,22.068,24.467,25.817,27.581,12.986,0.116,94.356
Type-O,46.421,6.047,0.039,0.0,46.084,0.562,9.465,76.46,18.454,927.038,0.99,fix,40.149,33.827,17.251,8.887,141.627,0.971,4.403
Type-J,48.132,7.543,0.179,0.09,33.54,7.489,0.0,91.419,5.457,880.378,1.355,fix,21.42,23.808,26.085,28.669,12.447,0.922,104.99
Type-S,51.864,6.105,0.104,0.0,43.13,0.525,0.0,84.18,12.586,549.772,0.967,fix,8.044,37.571,41.353,12.789,13.059,0.15,102.052
Type-O,47.107,6.061,0.035,0.0,48.028,0.562,9.977,74.617,19.577,939.224,1.992,fix,43.043,30.817,18.6,7.75,157.844,0.943,3.739
Type-N,51.921,5.44,0.262,0.352,37.283,5.156,0.0,74.96,14.151,892.698,1.09,fix,54.701,23.015,20.864,1.346,0.0,1.762,87.083
Type-R,50.734,6.739,0.174,0.19,47.204,0.33,4.674,76.867,19.684,817.577,0.553,fluid,45.427,26.443,18.536,9.722,2.184,0.937,217.934
Type-U,49.02,5.332,0.21,0.098,44.418,0.41,8.59,87.798,14.872,763.827,1.308,fluid,26.618,45.38,13.751,14.28,9.537,0.658,101.324
Type-U,56.155,5.894,0.216,0.097,40.72,0.431,8.174,82.473,15.845,675.039,1.368,fluid,23.308,42.711,19.362,14.652,12.895,0.466,105.056
Type-R,47.522,6.887,0.148,0.211,41.098,0.323,4.65,75.459,15.324,792.877,1.315,fluid,42.332,31.012,19.159,7.454,1.352,1.023,191.605
Type-I,50.788,6.194,1.14,0.216,33.485,9.156,9.425,64.474,17.72,706.319,1.334,fix,30.432,36.185,21.786,11.608,12.745,1.442,71.262
Type-I,43.748,6.421,1.23,0.21,32.605,9.292,10.097,58.75,17.562,850.861,2.553,fix,47.243,16.731,33.201,2.435,13.219,1.435,108.161
Type-V,54.986,6.89,0.719,0.5,34.662,6.642,9.691,79.032,16.269,791.131,0.742,fix,49.325,23.01,15.834,11.748,7.743,1.323,103.217
Type-V,51.741,6.95,0.769,0.477,35.663,7.868,9.337,84.168,14.767,800.214,2.183,fix,54.319,17.258,24.365,4.061,0.827,1.609,106.517
Type-O,49.514,6.167,0.043,0.0,42.612,0.515,8.979,75.606,19.662,914.411,0.944,fix,39.982,33.922,17.263,8.893,152.995,0.975,4.775
Type-B,33.543,5.326,0.312,0.0,40.507,15.621,7.605,67.335,16.814,753.349,0.718,fluid,51.378,24.062,18.316,6.28,32.494,0.998,81.823
Type-F,49.31,7.191,1.056,0.111,46.777,1.474,11.997,73.009,15.147,837.583,1.178,fluid,60.386,14.936,16.945,7.974,12.239,1.15,92.816
Type-V,51.24,6.345,0.92,0.52,33.636,7.152,9.901,85.565,15.886,785.101,0.722,fix,49.213,23.045,15.847,11.757,8.069,1.353,103.129
Type-D,43.149,5.145,0.205,0.0,50.903,2.449,10.648,89.308,14.44,716.524,0.948,fluid,52.113,22.766,18.555,6.185,50.27,0.875,177.472
Type-V,51.263,7.145,0.899,0.491,30.849,7.579,9.744,75.625,14.887,822.098,1.881,fix,53.708,15.992,25.037,5.508,1.716,1.405,104.018
Type-O,49.116,5.885,0.037,0.0,43.457,0.615,8.392,78.461,20.082,885.85,0.13,fix,29.702,52.521,7.328,10.469,163.617,0.767,10.809
Type-E,45.252,6.03,0.211,0.0,49.942,1.299,8.686,80.851,14.193,618.72,0.616,fluid,51.31,28.623,11.395,8.287,75.159,0.654,202.012
Type-E,43.228,5.454,0.192,0.0,52.309,1.251,8.666,81.205,13.779,643.417,0.667,fluid,51.904,28.408,11.352,8.256,78.823,0.655,206.063
Type-E,38.174,5.728,0.195,0.0,49.381,1.213,8.935,79.245,13.134,778.994,0.573,fluid,52.8,22.57,17.438,7.181,20.641,1.384,64.731
Type-B,34.546,5.565,0.331,0.0,42.239,14.594,7.699,76.333,17.25,794.564,0.735,fluid,52.845,22.365,18.838,6.11,21.449,1.128,64.604
Type-E,41.383,6.646,0.212,0.0,50.249,1.304,9.299,86.793,13.869,700.306,0.656,fluid,58.982,22.562,12.307,6.153,35.718,0.959,145.774
Type-V,51.098,7.0,0.786,0.53,34.685,7.772,9.018,82.818,15.786,784.209,2.733,fix,52.951,16.144,25.189,5.542,1.662,1.244,98.314
Type-F,46.841,6.59,0.997,0.112,46.484,1.591,11.649,77.694,15.809,827.309,1.047,fluid,59.861,14.899,17.39,7.95,7.369,1.13,102.54
Type-O,47.587,5.678,0.041,0.0,45.71,0.581,8.919,79.072,18.642,873.594,1.235,fix,39.44,34.231,17.304,8.914,138.436,0.987,4.612
Type-L,47.484,6.357,0.179,0.028,43.309,1.105,7.005,71.042,18.321,829.179,0.913,fluid,54.285,19.283,22.218,4.483,1.003,1.609,103.351
Type-H,49.142,5.153,0.964,0.241,42.848,4.453,10.297,79.994,15.001,652.045,2.192,fluid,81.283,6.49,0.0,11.524,13.327,1.145,26.092
Type-C,35.279,5.773,1.01,0.085,40.682,13.592,0.0,75.901,9.948,713.36,1.081,fix,46.027,29.39,17.665,7.03,12.873,0.561,103.225
Type-J,42.02,6.775,0.173,0.087,38.095,7.553,0.0,89.591,5.188,889.67,1.156,fix,21.487,23.759,26.08,28.664,11.937,0.848,113.962
Type-V,52.03,6.499,0.86,0.487,32.015,7.432,9.408,82.783,15.312,815.373,1.328,fix,35.007,24.216,25.939,14.901,37.412,0.791,100.108
Type-W,53.855,5.41,0.421,0.128,36.098,1.88,0.0,84.548,22.584,766.409,0.614,fluid,46.528,23.978,20.888,8.575,11.84,1.057,91.765
Type-N,47.065,5.548,0.241,0.337,38.427,5.764,0.0,72.967,14.639,694.118,1.044,fix,36.128,12.097,40.764,10.977,102.235,0.934,169.604
Type-S,43.966,6.759,0.098,0.0,43.974,0.484,0.0,80.855,13.221,896.836,1.223,fix,42.725,33.904,16.013,7.342,11.747,1.215,98.24
Type-C,36.914,5.535,0.981,0.096,42.538,11.983,0.0,79.931,10.793,950.0,0.839,fix,45.705,17.223,28.56,8.87,11.467,1.01,94.258
Type-V,50.274,7.143,0.827,0.481,32.716,7.373,9.107,77.606,14.966,783.384,1.4,fix,57.801,15.37,22.005,4.606,0.239,1.82,109.891
Type-P,48.292,5.923,0.411,0.097,42.639,0.283,0.0,88.814,16.969,766.891,0.938,fluid,56.953,14.267,22.822,5.917,12.612,1.008,105.206
Type-Q,50.298,6.678,0.163,0.194,44.843,0.36,5.104,78.6,17.175,919.137,0.828,fluid,55.234,20.378,17.164,7.422,14.161,1.809,102.043
Type-M,49.18,6.227,0.224,0.0,43.46,0.513,11.29,70.075,15.758,792.96,0.4,fluid,43.835,23.599,23.089,9.216,11.822,1.17,115.809
Type-P,46.994,5.914,0.405,0.097,41.061,0.276,0.0,79.979,16.304,747.549,0.585,fluid,39.362,30.49,17.704,12.325,12.423,1.084,98.706
Type-H,49.123,5.392,1.054,0.245,40.291,4.23,9.537,79.52,14.43,690.427,1.495,fluid,82.684,6.417,0.0,11.372,12.482,1.067,28.687
Type-P,48.646,5.712,0.38,0.098,44.24,0.271,0.0,81.348,17.798,777.945,0.369,fluid,28.185,41.413,13.689,16.714,11.423,1.036,101.669
Type-B,38.248,4.905,0.346,0.0,44.283,16.194,7.774,65.614,18.998,725.745,0.915,fluid,50.811,24.24,18.387,6.304,31.069,1.012,80.025
Type-E,43.263,6.495,0.193,0.0,48.414,1.295,8.416,80.027,13.648,682.287,0.742,fluid,52.838,28.069,11.284,8.207,63.338,0.688,207.544
Type-H,43.804,5.148,1.043,0.268,46.726,4.325,10.427,73.405,13.633,633.333,2.392,fluid,61.35,14.547,11.63,11.722,13.269,0.575,62.358
Type-V,49.568,6.894,0.829,0.539,35.316,6.876,9.723,73.834,15.894,829.18,1.234,fix,56.897,17.46,21.003,5.001,0.224,1.537,103.834
Type-V,53.324,6.522,0.767,0.545,33.843,7.349,8.836,79.498,16.726,733.136,1.197,fix,54.87,17.882,21.344,5.082,0.227,1.518,103.342
Type-E,41.816,5.29,0.189,0.0,51.796,1.344,7.95,85.522,14.455,724.103,0.884,fluid,56.698,20.977,15.696,6.278,26.873,1.213,102.273
Type-F,45.922,6.749,0.989,0.104,45.935,1.42,11.719,76.708,14.571,873.575,1.301,fluid,60.872,14.73,17.245,7.883,6.183,1.393,102.93
Type-V,56.669,6.617,0.843,0.557,30.158,7.02,9.341,70.548,15.01,732.264,1.215,fix,47.619,24.606,19.943,7.67,0.742,1.366,93.529
Type-Q,51.2,6.697,0.168,0.183,42.944,0.346,5.24,84.62,18.475,688.81,1.098,fluid,50.755,19.061,17.031,13.024,18.94,1.394,101.594
Type-E,42.306,6.275,0.21,0.0,49.197,1.294,8.978,75.602,14.324,613.982,0.674,fluid,51.196,28.665,11.403,8.293,75.34,0.725,203.752
Type-T,51.757,5.774,0.192,0.0,41.471,0.196,7.338,79.797,14.114,832.592,0.849,fluid,46.771,22.18,21.513,9.399,2.894,1.361,111.599
Type-E,38.703,6.396,0.192,0.0,47.959,1.328,8.837,86.181,14.246,658.281,0.836,fluid,57.92,22.833,12.405,6.203,38.887,0.958,143.106
Type-K,48.085,5.424,0.615,0.01,35.074,6.797,0.0,71.655,21.019,840.143,1.035,fix,52.123,22.196,19.565,6.02,11.602,0.865,211.005
Type-R,48.768,6.845,0.158,0.175,42.099,0.324,4.993,77.607,17.266,806.415,0.781,fluid,45.239,26.517,18.558,9.734,2.035,0.892,216.943
Type-S,48.856,6.171,0.091,0.0,41.303,0.512,0.0,83.556,12.845,500.403,1.093,fix,7.813,38.328,41.136,12.722,12.996,0.154,96.873
Type-D,37.293,5.139,0.19,0.0,50.337,2.532,11.07,80.55,14.165,773.24,0.667,fluid,52.683,22.603,17.453,7.187,35.26,0.994,153.154
Type-N,49.479,5.451,0.246,0.344,42.329,5.406,0.0,78.294,14.405,916.252,1.287,fix,55.131,22.894,20.799,1.342,0.0,1.838,91.005
Type-F,47.796,6.541,1.047,0.107,44.935,1.406,12.405,71.995,14.127,844.587,0.595,fluid,56.504,19.88,14.943,8.966,8.602,0.992,98.976
Type-V,51.303,6.275,0.801,0.484,31.773,7.543,8.744,73.787,14.824,823.557,0.864,fix,56.779,17.484,21.023,5.005,0.224,1.549,100.561
Type-S,54.163,6.764,0.102,0.0,42.785,0.5,0.0,87.64,13.264,507.554,1.083,fix,7.846,38.218,41.167,12.732,13.787,0.169,103.886
Type-C,37.693,5.765,0.986,0.09,44.824,12.461,0.0,77.511,9.768,846.168,1.07,fix,44.128,17.63,28.896,8.975,12.673,0.936,96.687
Type-B,37.127,5.101,0.352,0.0,41.292,16.036,7.358,63.139,18.515,780.048,0.801,fluid,51.926,23.891,18.247,6.256,32.924,0.968,89.733
Type-F,47.084,6.284,1.062,0.103,41.192,1.724,12.982,68.408,14.743,854.818,1.201,fluid,56.27,20.273,15.186,8.099,12.795,1.388,111.305
Type-V,50.462,6.09,0.858,0.542,29.365,6.953,9.151,76.844,16.129,773.465,2.178,fix,52.736,16.187,25.232,5.551,1.739,1.424,117.653
Type-I,47.711,7.531,1.248,0.248,35.096,9.117,9.16,69.336,16.106,897.218,2.761,fix,47.985,16.56,33.011,2.421,13.849,1.3,106.47
Type-U,48.897,6.486,0.204,0.1,43.42,0.484,7.603,79.417,14.848,660.225,1.409,fluid,23.159,42.89,19.356,14.648,12.72,0.448,102.514
Type-R,47.043,7.311,0.16,0.205,44.021,0.36,5.274,78.222,16.997,842.339,0.979,fluid,43.571,30.454,17.966,8.271,1.582,1.002,187.684
Type-E,41.42,6.235,0.214,0.0,43.335,1.242,8.417,80.374,13.537,796.102,0.663,fluid,53.148,22.471,17.395,7.163,20.037,1.258,56.433
Type-E,39.33,6.36,0.193,0.0,48.974,1.263,8.022,84.415,13.06,775.271,1.223,fluid,57.871,20.693,15.557,6.223,28.194,1.173,101.428
Type-C,38.048,5.561,1.018,0.09,41.434,12.256,0.0,81.572,10.229,500.0,1.213,fix,16.534,53.127,21.802,8.629,12.333,0.164,108.617
Type-R,52.086,7.338,0.156,0.167,41.64,0.344,5.189,78.89,16.52,789.234,1.009,fluid,42.717,30.863,18.046,8.308,1.683,0.901,196.011
Type-M,46.939,6.6,0.243,0.0,44.059,0.522,11.264,83.03,15.495,828.318,0.587,fluid,47.901,21.119,22.815,8.152,12.427,1.131,100.595
Type-O,48.445,5.795,0.042,0.0,40.843,0.543,8.714,84.812,18.207,874.119,1.128,fix,30.415,39.457,17.984,12.165,249.105,0.745,5.667
Type-Q,54.081,6.483,0.166,0.2,42.518,0.349,5.203,82.441,17.916,779.355,0.812,fluid,50.859,22.225,18.646,8.063,15.04,1.517,105.415
Type-N,48.992,5.245,0.235,0.34,39.227,5.866,0.0,76.46,14.63,901.298,0.724,fix,54.153,23.646,20.87,1.344,0.0,1.207,94.878
Type-N,52.704,4.909,0.234,0.362,38.904,5.451,0.0,74.89,14.059,908.025,1.334,fix,54.981,22.936,20.821,1.344,0.0,1.627,104.38
Type-O,48.792,5.826,0.038,0.0,43.454,0.518,9.223,79.135,19.171,852.377,1.375,fix,30.184,39.66,17.989,12.169,263.966,0.812,5.756
Type-C,38.036,5.735,1.028,0.097,45.444,13.461,0.0,84.698,10.628,707.834,1.078,fix,45.918,29.437,17.676,7.035,12.907,0.645,88.443
Type-T,51.731,6.182,0.218,0.0,43.15,0.196,7.556,84.6,13.732,887.316,1.22,fluid,47.68,21.896,21.379,9.34,2.822,1.462,100.098
Type-B,35.294,4.579,0.327,0.0,43.796,14.974,7.98,61.725,18.614,770.626,0.611,fluid,52.362,22.503,18.903,6.131,19.445,1.131,62.19
Type-V,54.585,6.487,0.831,0.471,33.871,7.167,9.649,79.842,14.321,664.209,1.287,fix,33.327,31.084,19.527,15.93,1.863,1.105,91.211
Type-F,45.259,6.129,0.922,0.113,47.345,1.665,12.589,72.856,15.723,881.168,1.32,fluid,52.096,25.338,14.135,8.077,13.587,1.461,102.546
Type-R,50.949,7.117,0.154,0.193,41.853,0.304,5.045,70.381,16.985,813.968,1.172,fluid,42.668,30.849,19.126,7.441,1.45,0.947,209.65
Type-S,47.298,6.364,0.102,0.0,41.799,0.498,0.0,89.959,13.418,533.778,1.469,fix,7.969,37.816,41.283,12.767,12.857,0.151,101.254
Type-I,47.535,6.917,1.211,0.199,37.035,8.328,8.775,61.246,16.108,768.55,1.619,fix,42.562,25.479,23.432,8.316,13.586,2.211,51.631
Type-A,33.875,4.474,0.244,0.0,45.229,16.124,9.033,67.518,17.985,678.988,0.882,fluid,53.869,18.056,18.532,9.266,69.011,0.639,163.649
Type-K,46.614,5.613,0.616,0.01,33.378,6.881,0.0,70.152,20.961,845.386,0.625,fix,40.427,24.178,23.75,11.618,12.703,0.703,233.618
Type-P,50.369,6.443,0.42,0.104,44.859,0.281,0.0,90.061,16.214,794.516,1.027,fluid,57.567,14.165,22.706,5.887,13.341,1.038,100.438
Type-N,48.612,5.735,0.25,0.332,38.963,5.593,0.0,82.312,15.454,897.507,1.49,fix,54.789,22.99,20.85,1.346,0.0,1.781,95.342
Type-F,45.105,6.283,1.089,0.1,45.243,1.632,12.263,79.645,16.263,795.88,1.086,fluid,56.709,18.016,16.983,7.992,9.602,0.98,94.153
Type-R,49.619,6.91,0.173,0.204,42.866,0.344,4.6,82.015,17.933,808.171,1.034,fluid,43.021,30.717,18.018,8.294,1.591,0.878,197.536
Type-A,33.976,4.369,0.245,0.0,45.362,15.536,9.704,72.684,16.468,815.963,1.084,fluid,52.74,22.017,18.591,7.035,32.605,0.908,121.88
Type-V,48.323,6.695,0.876,0.527,34.574,7.051,9.929,80.026,15.67,771.979,1.228,fix,55.69,17.711,21.205,5.049,0.229,1.646,103.876
Type-F,47.128,6.238,0.976,0.106,46.945,1.511,11.82,75.837,13.354,796.672,1.191,fluid,59.192,15.01,17.487,7.994,6.207,1.312,98.626
Type-S,48.324,6.13,0.113,0.0,39.802,0.498,0.0,91.894,13.344,505.724,1.067,fix,7.838,38.246,41.159,12.729,12.399,0.141,103.065
Type-V,57.076,6.295,0.841,0.499,33.234,6.831,9.816,80.05,16.0,815.829,1.248,fix,35.013,24.213,25.938,14.901,38.997,0.767,102.059
Type-W,54.262,5.165,0.393,0.121,40.075,1.928,0.0,79.561,22.982,791.85,0.981,fluid,51.885,18.97,23.289,6.089,12.03,1.017,101.977
Type-V,52.659,6.199,0.857,0.494,31.559,6.714,9.36,76.333,14.17,819.249,1.145,fix,56.688,17.503,21.038,5.009,0.223,1.554,108.861
Type-E,43.416,6.54,0.193,0.0,47.443,1.26,8.711,82.067,14.005,783.261,0.641,fluid,52.887,22.545,17.428,7.176,19.447,1.451,58.915
Type-H,48.345,5.815,0.975,0.263,42.88,4.077,9.239,83.858,14.697,689.588,1.803,fluid,82.898,12.313,3.892,1.32,12.777,1.202,27.177
Type-W,55.046,5.581,0.455,0.122,35.703,1.904,0.0,85.153,24.683,758.613,0.653,fluid,46.387,24.027,20.908,8.583,14.204,1.091,103.638
Type-A,36.039,4.55,0.248,0.0,46.568,14.612,10.522,67.38,16.125,787.535,0.719,fluid,52.171,22.179,18.667,7.063,34.514,0.916,131.077
Type-C,40.637,5.216,0.918,0.093,43.166,13.477,0.0,71.798,10.251,521.568,0.739,fix,16.865,52.424,21.883,8.661,12.308,0.161,105.451
Type-O,47.909,5.642,0.039,0.0,44.783,0.552,9.215,73.286,18.864,873.576,1.536,fix,30.41,39.462,17.984,12.166,288.936,0.737,6.595
Type-Q,49.194,6.957,0.148,0.183,39.335,0.366,4.87,85.402,17.938,915.17,0.391,fluid,54.735,20.588,17.335,7.496,16.41,1.276,104.099
Type-A,37.74,4.764,0.257,0.0,46.537,15.585,9.305,74.35,16.675,746.665,0.787,fluid,55.423,18.865,19.383,6.286,44.574,0.85,159.202
Type-R,51.842,6.072,0.169,0.211,42.717,0.336,5.11,86.603,15.447,820.149,0.189,fluid,39.885,31.497,18.792,9.925,3.117,0.725,242.438
Type-Q,51.61,6.826,0.157,0.197,42.256,0.346,5.056,80.79,17.93,793.803,0.64,fluid,51.137,22.145,18.609,8.047,15.379,1.523,103.826
Type-C,34.64,5.795,0.962,0.1,45.371,13.265,0.0,76.224,10.021,719.527,1.102,fix,46.148,29.338,17.653,7.025,13.298,0.573,108.382
Type-S,53.547,6.075,0.109,0.0,44.227,0.494,0.0,85.581,11.559,508.595,1.041,fix,7.851,38.202,41.172,12.733,12.161,0.147,103.302
Type-P,47.199,5.965,0.408,0.098,42.7,0.278,0.0,74.956,15.86,770.894,0.399,fluid,28.108,41.489,13.689,16.715,12.836,0.993,99.63
Type-O,46.336,6.442,0.04,0.0,44.379,0.575,9.146,72.254,19.08,872.542,1.456,fix,30.399,39.472,17.984,12.166,267.584,0.707,6.599
Type-V,50.521,6.793,0.816,0.429,30.911,7.455,8.951,79.574,15.562,827.569,3.642,fix,53.338,15.123,26.785,5.054,3.034,1.286,104.418
Type-V,51.732,6.826,0.783,0.503,34.74,6.924,9.012,74.537,14.328,856.985,1.102,fix,59.406,15.088,21.716,4.545,0.229,1.601,98.247
Type-J,46.585,7.451,0.189,0.09,36.22,8.133,0.0,85.527,5.708,915.274,1.095,fix,21.671,23.624,26.068,28.65,13.987,0.86,96.0
Type-T,48.852,5.473,0.182,0.0,45.852,0.198,7.305,82.948,13.487,859.293,1.267,fluid,47.214,22.042,21.447,9.37,2.743,1.343,106.752
Type-I,48.315,6.943,1.247,0.207,37.186,9.163,8.726,63.841,17.416,708.65,1.486,fix,30.463,36.16,21.785,11.607,12.056,1.525,71.766
Type-V,48.69,6.751,0.789,0.512,30.348,6.72,9.364,83.216,15.651,781.877,1.065,fix,51.165,19.279,21.774,7.596,0.738,1.296,99.083
Type-O,47.682,5.599,0.042,0.0,45.799,0.549,10.041,83.704,17.672,846.177,0.109,fix,29.308,52.982,7.323,10.462,145.998,0.822,10.912
Type-N,45.622,5.393,0.242,0.329,42.278,5.908,0.0,73.134,13.676,904.244,0.703,fix,53.513,26.248,17.989,2.29,0.0,1.119,93.603
Type-G,47.111,5.837,9.142,0.0,37.158,1.193,7.639,73.44,17.333,827.935,0.482,fluid,43.727,33.136,11.693,11.493,43.063,1.801,100.476
Type-O,47.092,5.878,0.038,0.0,42.698,0.625,9.797,85.483,18.883,867.176,1.292,fix,39.355,34.28,17.31,8.917,130.596,0.979,4.741
Type-V,47.023,7.153,0.734,0.55,33.497,6.784,10.211,73.3,15.185,778.665,3.821,fix,52.37,15.31,26.996,5.094,3.232,1.407,92.027
Type-J,50.996,6.719,0.176,0.086,33.798,7.089,0.0,81.581,5.335,893.168,1.105,fix,21.512,23.741,26.079,28.662,13.43,0.831,103.907
Type-S,48.649,6.281,0.11,0.0,42.954,0.5,0.0,90.419,13.0,894.052,0.922,fix,42.685,33.925,16.016,7.343,13.412,1.217,99.975
Type-N,48.366,4.461,0.241,0.325,40.501,5.413,0.0,79.041,15.575,679.037,1.031,fix,35.894,12.149,40.838,10.997,98.768,0.92,170.626
Type-I,45.061,6.797,1.171,0.23,34.251,10.022,9.429,71.78,17.035,813.576,1.403,fix,43.289,25.194,23.329,8.279,13.579,2.17,45.413
Type-R,52.312,7.04,0.165,0.198,43.671,0.34,4.765,74.875,17.536,742.344,0.996,fluid,41.528,31.403,19.239,7.485,1.327,0.931,200.716
Type-I,48.434,6.986,1.24,0.212,37.179,9.121,9.082,63.638,18.083,903.345,2.022,fix,54.671,17.807,24.758,2.799,12.805,1.571,46.726
Type-M,48.618,6.417,0.232,0.0,43.47,0.502,11.259,83.108,15.849,794.216,0.453,fluid,43.855,23.592,23.086,9.214,12.343,1.159,113.67
Type-I,46.136,6.757,1.223,0.211,37.601,9.396,10.033,68.657,16.888,717.735,1.4,fix,30.581,36.066,21.78,11.605,12.901,1.488,72.513
Type-V,46.067,6.489,0.863,0.465,34.569,7.524,9.327,72.01,15.267,719.924,1.531,fix,34.135,30.594,19.465,15.879,1.985,1.109,103.464
Type-C,37.34,5.694,0.999,0.093,44.805,12.243,0.0,75.826,9.911,722.284,1.037,fix,46.202,29.315,17.648,7.023,12.455,0.609,102.953
Type-F,47.648,6.609,1.046,0.098,44.876,1.535,11.234,79.204,13.274,885.171,1.211,fluid,61.125,14.688,17.209,7.867,8.178,1.258,101.326
Type-J,45.89,6.735,0.181,0.092,34.14,8.461,0.0,83.135,4.832,898.142,0.982,fix,21.548,23.715,26.076,28.66,13.649,0.811,107.337
Type-F,42.352,6.116,1.031,0.103,43.924,1.513,12.355,78.281,14.822,837.686,0.688,fluid,56.362,19.914,14.959,8.975,9.203,0.931,100.538
Type-S,51.921,6.423,0.101,0.0,42.588,0.506,0.0,89.792,11.793,880.682,0.668,fix,42.495,34.025,16.031,7.35,13.425,1.229,110.731
Type-D,41.381,5.425,0.206,0.0,57.407,2.346,10.615,82.771,13.727,657.978,0.74,fluid,47.054,21.083,22.01,9.433,73.498,0.656,202.956
Type-V,53.208,6.343,0.801,0.498,34.663,7.385,9.396,69.179,15.702,809.271,2.603,fix,52.975,15.193,26.864,5.069,2.822,1.476,108.306
Type-N,50.662,5.855,0.274,0.389,37.671,6.436,0.0,78.485,14.032,876.549,0.331,fix,41.023,42.993,13.432,2.468,6.81,0.884,133.716
Type-G,46.176,5.504,8.903,0.0,40.62,1.072,7.285,69.058,18.757,850.599,0.519,fluid,44.088,32.952,11.672,11.472,46.881,1.774,105.021
Type-A,32.007,4.393,0.265,0.0,45.677,14.528,9.989,69.671,17.836,778.003,0.787,fluid,51.98,22.234,18.692,7.073,34.336,0.792,134.721
Type-V,52.644,6.307,0.855,0.498,33.372,7.021,9.701,80.556,15.617,762.803,1.022,fix,57.352,15.448,22.087,4.623,0.226,1.642,105.176
Type-J,43.16,7.99,0.181,0.092,36.257,7.912,0.0,89.249,4.958,500.0,1.363,fix,22.156,24.404,25.81,27.574,12.286,0.105,104.691
Type-C,39.297,5.782,0.946,0.092,38.871,12.652,0.0,74.775,11.196,700.109,1.118,fix,45.767,29.502,17.692,7.041,12.914,0.541,105.444
Type-S,49.344,7.076,0.094,0.0,42.87,0.473,0.0,84.257,14.128,701.361,1.041,fix,36.431,30.988,21.918,10.669,12.879,0.527,97.59
Type-R,52.897,6.97,0.168,0.2,39.501,0.357,4.942,72.31,18.085,810.289,0.172,fluid,39.739,31.575,18.805,9.932,3.315,0.758,268.879
Type-K,46.818,5.545,0.609,0.01,36.053,7.003,0.0,72.479,21.488,843.111,0.596,fix,40.957,24.532,22.066,12.406,12.647,0.757,209.134
Type-W,53.89,5.731,0.408,0.116,36.717,1.754,0.0,74.723,23.197,743.244,0.421,fluid,41.286,30.458,17.118,10.976,12.235,0.973,102.309
Type-V,54.428,7.161,0.818,0.495,30.957,7.014,9.272,73.839,15.331,829.567,1.379,fix,58.808,15.193,21.823,4.568,0.208,1.752,104.58
Type-V,51.555,6.531,0.803,0.518,35.353,7.323,9.388,83.326,15.12,841.323,1.613,fix,35.346,24.058,25.892,14.874,40.663,0.769,104.607
Type-V,47.338,6.789,0.771,0.451,33.013,6.735,9.556,79.219,15.778,664.355,0.891,fix,46.316,25.049,20.116,7.737,0.68,1.313,101.778
Type-H,50.546,4.665,0.982,0.245,40.006,4.187,10.535,76.456,15.341,675.357,1.352,fluid,82.378,12.365,3.91,1.327,13.437,1.06,25.113
Type-I,47.549,6.481,1.32,0.222,34.969,8.865,9.111,66.663,17.469,892.098,1.589,fix,49.769,18.983,26.336,4.845,13.698,2.591,25.038
Type-F,47.422,5.287,1.043,0.115,42.476,1.561,11.27,79.673,14.064,853.136,0.901,fluid,56.679,19.838,14.923,8.954,8.643,0.889,113.917
